Node,x,y,Shape_Area,acres,treat
1,-80.44481083,25.54599054,97948.40682,2.248581986,nothing
2,-80.49648852,25.52226504,49991.99659,1.147656267,nothing
3,-80.52516924,25.53493158,111282.8795,2.554698808,fungicide
4,-80.42362702,25.55213796,212090.9348,4.868929172,stumping
5,-80.49910689,25.47293724,63281.55811,1.452742073,scout & rogue
6,-80.4907,25.63008861,211881.7184,4.864126233,scout & rogue
7,-80.43496062,25.55935879,222581.496,5.109758887,stumping
8,-80.48838047,25.49629179,541411.4208,12.42907371,fungicide
9,-80.50860678,25.55433971,407330.3027,9.351000293,fungicide
10,-80.46280163,25.54841805,220376.9255,5.059149003,stumping
11,-80.49254894,25.55074883,39669.07934,0.910675121,stumping
12,-80.52598926,25.57504423,273511.5668,6.278950337,scout & rogue
13,-80.44792962,25.53711727,209397.9461,4.807106769,nothing
14,-80.51157488,25.53828648,417473.8108,9.58386278,nothing
15,-80.55120512,25.51278238,109410.2752,2.511709806,stumping
16,-80.45554864,25.53144188,899402.9883,20.64741452,stumping
17,-80.4991142,25.57131002,221075.5523,5.075187239,scout & rogue
18,-80.4200334,25.54797845,222732.5487,5.113226574,scout & rogue
19,-80.50868562,25.54059834,370672.7707,8.509460662,nothing
20,-80.4241539,25.55373834,357953.51,8.217467138,scout & rogue
21,-80.48175675,25.56325712,445279.2242,10.22218609,scout & rogue
22,-80.49318854,25.52881966,67626.44874,1.552486858,fungicide
23,-80.45735089,25.57386802,190894.0999,4.382317673,fungicide
24,-80.50292444,25.54382184,226163.2642,5.191984824,scout & rogue
25,-80.48816249,25.49997756,644723.7543,14.80079428,scout & rogue
26,-80.49298724,25.51043507,216695.2856,4.974630332,stumping
27,-80.48505953,25.53158202,216212.7633,4.963553165,scout & rogue
28,-80.45231894,25.51253978,222372.8973,5.104970129,fungicide
29,-80.49091764,25.62055267,217572.3285,4.994764431,stumping
30,-80.49410923,25.59243165,425283.8728,9.763156811,scout & rogue
31,-80.52011192,25.52232676,1114150.813,25.57733738,stumping
32,-80.46674335,25.58829988,208108.9689,4.777515977,fungicide
33,-80.50641127,25.49061202,207246.0568,4.757706277,scout & rogue
34,-80.50012461,25.57129253,221669.4727,5.088821751,nothing
35,-80.51706574,25.53452262,208152.1273,4.778506756,fungicide
36,-80.44045993,25.55519081,209488.527,4.809186217,scout & rogue
37,-80.49450417,25.62463558,212764.4983,4.884392035,nothing
38,-80.44246566,25.54862585,235309.3562,5.401949828,stumping
39,-80.53930954,25.47897919,123483.8292,2.83479357,scout & rogue
40,-80.50732628,25.52135186,221517.6657,5.085336748,nothing
41,-80.49668875,25.59346143,203471.59,4.671056597,scout & rogue
42,-80.40170156,25.55322466,884959.3059,20.31583379,nothing
43,-80.55932636,25.4696134,80647.98677,1.851419703,fungicide
44,-80.51200251,25.53506926,111572.9804,2.561358596,nothing
45,-80.45645109,25.60516552,442380.3879,10.15563809,scout & rogue
46,-80.47078669,25.49860354,52435.22709,1.203745021,stumping
47,-80.4826388,25.4944649,415073.1014,9.528750174,stumping
48,-80.53848743,25.5394937,54134.18621,1.242747686,fungicide
49,-80.46755705,25.54830965,58979.94152,1.353990721,nothing
50,-80.48356715,25.53678222,208373.397,4.7835864,scout & rogue
51,-80.41431877,25.58888955,439807.4014,10.09657055,scout & rogue
52,-80.44874212,25.51444034,113975.5619,2.616514179,nothing
53,-80.48533929,25.57459497,209830.5484,4.817037934,scout & rogue
54,-80.52131775,25.45396827,207791.4331,4.770226371,scout & rogue
55,-80.48757218,25.59152868,431017.1283,9.894774011,fungicide
56,-80.48627402,25.49850643,88179.64455,2.024322464,fungicide
57,-80.53710888,25.41196371,195174.0291,4.480571151,nothing
58,-80.42038056,25.58013036,196281.5539,4.505996377,stumping
59,-80.4240311,25.54236064,657491.7476,15.09390655,fungicide
60,-80.50549042,25.54564549,449290.231,10.31426598,stumping
61,-80.49294483,25.50951435,212170.5607,4.870757128,scout & rogue
